Company,Country,Latitude ,Longitude ,Carbon Intensity (Tons CO2/Tons Steel) (Source 1),Type of furnace,Energy in (kWh/ton of steel),Grid efficiency (g co2/kwh),Carbon in (ton/steel) (Source 2),Cost of steel (USD/ton),Carbon Emitted (Ton CO2/ton steel)
Acerinox,Spain,36.181686,-5.426626,1.036637048,EAF,450,86,0.042659397,1800,1.079296445
Arcelor Mittal,Netherlands,52.45861,4.61944,1.730915371,BOF,350,386,0.148922081,900,1.879837452
Baoshan Iron & Steel,China,31.41623,121.44009,1.9998,BOF,350,515,0.1986913775,600,2.198491378
Bluescope Steel,Australia,-34.44,150.92,1.442886667,BOF,350,452,0.174385442,950,1.617272109
CAP,Chile,-36.746421,-73.129171,3.335522642,BOF,350,208,0.080248168,700,3.41577081
Carpenter Tech,United States of America,40.3385,-75.918,0.21,EAF,450,361,0.1790702595,1400,0.3890702595
China Steel,Taiwan,22.5568,120.282,2.45562562,BOF,350,511,0.1971481435,850,2.652773764
Cleveland-Cliffs,United States of America,41.4975,-81.6904,1.438353047,BOF,350,361,0.1392768685,800,1.577629916
Commercial Metals,United States of America,29.577459,-98.032017,0.42,EAF,450,361,0.1790702595,650,0.5990702595
Companhia Siderurgica Nacional (Steel),Brazil,-22.5186,-44.0997,1.98181108,BOF,350,122,0.047068637,1300,2.028879717
Daido Steel,Japan,35.2286,136.8847,0.5343,EAF,450,497,0.2465316315,700,0.7808316315
Erdemir,Turkey,41.2903,31.78,2.125714286,BOF,350,486,0.187502931,750,2.313217217
Feng Hsin Iron & Steel,Taiwan,24.2717,120.5419,0.339617493,EAF,450,511,0.2534761845,670,0.5930936775
Gerdau,Brazil,-29.9613,-51.0961,0.89875,EAF,450,122,0.060516819,820,0.959266819
Hyundai Steel,South Korea,36.0322,129.3645,1.487182023,BOF,350,408,0.157409868,1100,1.644591891
JFE,Japan,35.4478,139.716,2.096841576,BOF,350,497,0.1917468245,520,2.288588401
JSW Steel,India,15.215,76.636,2.370813,BOF,350,679,0.2619639715,500,2.632776972
Jindal Steel & Power,India,21.8545,85.1521,2.497142857,BOF,350,679,0.2619639715,980,2.759106829
Kobe Steel,Japan,34.6889,134.9975,2.250720075,BOF,350,497,0.1917468245,1050,2.4424669
Nippon Steel,Japan,33.8894,130.8843,1.897459073,BOF,350,497,0.1917468245,860,2.089205898
Nucor,United States of America,35.21,-80.91,0.44,EAF,450,361,0.1790702595,900,0.6190702595
Posco,South Korea,36.01569,129.39945,1.955945143,BOF,350,408,0.157409868,1100,2.113355011
SSAB,Sweden,58.670789,17.127786,1.46,BOF,350,408,0.157409868,820,1.617409868
Steel Dynamics,United States of America,39.6647,-84.2037,0.391,EAF,450,361,0.1790702595,540,0.5700702595
Tata Steel,India,22.788598,86.1996,2.435963777,BOF,350,679,0.2619639715,1400,2.697927749
Tenaris,Italy,45.4637,9.188,0.6,EAF,450,355,0.1760940225,900,0.7760940225
ThyssenKrupp,Germany,51.491649,6.733051,2.053378035,BOF,350,367,0.1415917195,870,2.194969755
United States Steel,United States of America,41.5931,-87.3464,1.961142857,BOF,350,361,0.1392768685,640,2.100419726
Usiminas,Brazil,-19.9208,-43.9364,2.16,BOF,350,122,0.047068637,520,2.207068637
Vedanta (Steel),India,20.2975,2.9709,2.725185185,BOF,350,679,0.2619639715,1050,2.987149157
Voestalpine,Austria,48.2279,14.6336,1.261514338,BOF,350,284,0.109569614,720,1.371083952

