buy_now,spot,ladder,hedge
26456318.3347463,25894960.428996004,25486836.14503326,25827505.550974466
26456318.3347463,25269164.13903002,25336642.707472015,25639766.66398467
26456318.3347463,25559216.391074635,24941045.117706873,25726782.339598052
26456318.3347463,25552477.826240502,24939191.901465993,25724760.770147815
26456318.3347463,26414111.543497123,25851215.53718862,25983250.8853248
26456318.3347463,24878698.23411839,25351666.330484286,25522626.89251118
26456318.3347463,25767396.095276702,25972735.701313403,25789236.250858672
26456318.3347463,26500097.53346068,26297356.459608782,26009046.682313867
26456318.3347463,25829693.596634775,25129194.50421224,25807925.501266096
26456318.3347463,25929365.047694363,25871343.55977414,25837826.936583973
26456318.3347463,26095828.0552891,24910452.407840434,25887765.838862393
26456318.3347463,25202068.00384733,26029127.721854065,25619637.823429864
26456318.3347463,25512002.67479498,25589979.558502935,25712618.224714156
26456318.3347463,25085118.59850045,25789322.673330665,25584553.0018258
26456318.3347463,25690919.103142444,25532860.653110627,25766293.153218396
26456318.3347463,25369642.04283686,25928369.93245417,25669910.035126723
26456318.3347463,26757230.74473685,26560262.58223244,26086186.645696722
26456318.3347463,25019926.336331807,24502463.00828629,25564995.323175207
26456318.3347463,25266126.190882135,24905389.4785611,25638855.279540304
26456318.3347463,25131492.056695815,26140225.865587994,25598465.039284408
26456318.3347463,23325566.409390032,24699620.042532213,25056687.345092677
26456318.3347463,26475675.762604803,26072540.063260935,26001720.1510571
26456318.3347463,26560005.98222657,26951913.35577962,26027019.216943637
26456318.3347463,26596789.488035418,26134879.00126829,26038054.268686287
26456318.3347463,25625843.24251038,26539565.981364653,25746770.395028777
26456318.3347463,25667115.42568542,25518488.71093112,25759152.04998129
26456318.3347463,26567620.192803264,26072031.662906412,26029303.480116643
26456318.3347463,24924998.455304332,25411103.56292757,25536516.95886696
26456318.3347463,25868528.357534602,26646062.40919247,25819575.929536045
26456318.3347463,25834003.146448977,25835426.222423624,25809218.366210356
26456318.3347463,25304255.898450334,25426014.83592991,25650294.191810764
26456318.3347463,24858268.555923022,25685130.669033673,25516497.98905257
26456318.3347463,25435664.956472263,25096307.278601047,25689716.909217343
26456318.3347463,25221676.585159317,25019824.062682208,25625520.39782346
26456318.3347463,26127218.450418234,26059521.030682124,25897182.957401134
26456318.3347463,25349316.642068394,26104718.99136836,25663812.414896183
